request_id,latency_seconds
0,119.50412583351135
1,119.84140706062317
2,119.63511395454407
3,119.55624604225159
4,119.55653595924377
5,119.70671916007996
6,119.94931483268738
7,119.94939804077148
8,119.48543214797974
9,119.7346351146698
10,119.8588695526123
11,119.49565124511719
12,122.58989095687866
13,119.73102307319641
14,119.85764408111572
15,119.7000961303711
16,119.84434390068054
17,119.94481587409973
18,121.46015405654907
19,119.66663908958435
20,119.77528309822083
21,119.76794075965881
22,121.9175329208374
23,120.47070288658142
24,126.64158582687378
25,126.86319994926453
26,122.9370470046997
27,123.98435568809509
28,122.79669404029846
29,124.37361097335815
30,122.98989224433899
31,123.22514986991882
32,127.14853930473328
33,126.63668990135193
34,121.37721014022827
35,126.82803606987
36,123.6887149810791
37,123.66994619369507
38,122.54098296165466
39,126.5054988861084
40,123.0289957523346
41,126.51006603240967
42,121.79630303382874
43,122.01597309112549
44,123.96283888816833
45,123.32489013671875
46,126.6127438545227
47,122.44531798362732
48,121.34423995018005
49,124.41988515853882
50,121.04046988487244
51,121.28069305419922
52,121.2721357345581
53,126.8238320350647
54,121.38979768753052
55,124.15777516365051
56,122.97723317146301
57,126.66510796546936
58,123.33703923225403
59,123.32772016525269
60,122.13710594177246
61,123.67427921295166
62,126.8076810836792
63,124.20852136611938
64,122.73245000839233
65,126.6217770576477
66,126.5159158706665
67,123.94496273994446
68,107.99524998664856
69,124.6992199420929
70,127.76496601104736
71,124.34353685379028
72,124.42560815811157
73,124.41222381591797
74,127.20917701721191
75,126.50934600830078
76,126.86130595207214
77,123.91148114204407
78,126.86757397651672
79,126.95571994781494
80,124.00160098075867
81,126.3963668346405
82,124.13492679595947
83,126.81484484672546
84,126.39455986022949
85,127.36068105697632
86,126.56214189529419
87,126.95917296409607
88,127.38025093078613
89,126.83750486373901
90,124.54675197601318
91,126.74959802627563
92,127.22503566741943
93,126.31784510612488
94,126.77322602272034
95,126.3399178981781
96,126.86462998390198
97,127.31855893135071
98,126.37008690834045
99,126.88402366638184
100,126.56132102012634
101,127.19280099868774
102,126.61706113815308
103,126.45264410972595
104,126.6155321598053
105,126.90478801727295
106,126.64329195022583
107,126.74732804298401
108,126.47541499137878
109,126.63168001174927
110,127.23895215988159
111,126.83392906188965
112,127.05137515068054
113,107.76063013076782
114,126.85949969291687
115,126.85348510742188
116,126.52091765403748
117,126.71170282363892
118,126.85681486129761
119,126.72305202484131
120,127.3729338645935
121,126.79264259338379
122,127.63763380050659
123,128.03084206581116
124,126.73899698257446
125,126.63154315948486
126,126.72610592842102
127,126.88333320617676
128,126.6901330947876
129,127.07118892669678
130,127.08092713356018
131,126.8990569114685
132,126.78029274940491
133,127.11386299133301
134,127.12853288650513
135,127.37393403053284
136,126.70030784606934
137,127.59046077728271
138,127.58914589881897
139,126.70332598686218
140,126.85095500946045
141,126.77694416046143
142,126.71025681495667
143,126.7309021949768
144,126.7963798046112
145,128.205579996109
146,127.24608087539673
147,127.04186916351318
148,127.53238821029663
149,127.53035807609558
150,126.73692893981934
151,127.06730699539185
152,126.8172960281372
